fifa_rank,team,country_code,fifa_points,confederation
1,France,FRA,1877.32,UEFA
2,Spain,ESP,1876.40,UEFA
3,Argentina,ARG,1874.81,CONMEBOL
4,England,ENG,1825.97,UEFA
5,Portugal,POR,1763.83,UEFA
6,Brazil,BRA,1761.16,CONMEBOL
7,Netherlands,NED,1757.87,UEFA
8,Morocco,MAR,1755.87,CAF
9,Belgium,BEL,1734.71,UEFA
10,Germany,GER,1730.37,UEFA
11,Croatia,CRO,1717.07,UEFA
12,Italy,ITA,1700.37,UEFA
13,Colombia,COL,1693.09,CONMEBOL
14,Senegal,SEN,1688.99,CAF
15,Mexico,MEX,1681.03,CONCACAF
16,USA,USA,1673.13,CONCACAF
17,Uruguay,URU,1673.07,CONMEBOL
18,Japan,JPN,1660.43,AFC
19,Switzerland,SUI,1649.40,UEFA
20,Denmark,DEN,1620.81,UEFA
21,IR Iran,IRN,1615.30,AFC
22,Turkey,TUR,1599.04,UEFA
23,Ecuador,ECU,1594.78,CONMEBOL
24,Austria,AUT,1593.45,UEFA
25,Korea Republic,KOR,1588.66,AFC
26,Nigeria,NGA,1585.09,CAF
27,Australia,AUS,1580.67,OFC
28,Algeria,ALG,1564.26,CAF
29,Egypt,EGY,1563.24,CAF
30,Canada,CAN,1556.48,CONCACAF
31,Norway,NOR,1550.94,UEFA
32,Ukraine,UKR,1546.88,UEFA
33,Panama,PAN,1540.64,CONCACAF
34,Ivory Coast,CIV,1532.98,CAF
35,Poland,POL,1528.00,UEFA
36,Russia,RUS,1525.60,AFC
37,Wales,WAL,1524.29,UEFA
38,Sweden,SWE,1514.77,UEFA
39,Serbia,SRB,1508.65,UEFA
40,Paraguay,PAR,1503.50,CONMEBOL
41,Czechia,CZE,1501.38,UEFA
42,Hungary,HUN,1500.58,UEFA
43,Scotland,SCO,1498.35,UEFA
44,Tunisia,TUN,1483.05,CAF
45,Cameroon,CMR,1481.24,CAF
46,Congo DR,COD,1478.35,CAF
47,Greece,GRE,1475.82,UEFA
48,Slovakia,SVK,1473.94,UEFA
49,Venezuela,VEN,1468.05,CONMEBOL
50,Uzbekistan,UZB,1465.34,AFC
51,Costa Rica,CRC,1459.90,CONCACAF
52,Mali,MLI,1459.13,CAF
53,Peru,PER,1455.87,CONMEBOL
54,Chile,CHI,1455.28,CONMEBOL
55,Qatar,QAT,1454.96,AFC
56,Romania,ROU,1451.16,UEFA
57,Iraq,IRQ,1447.14,AFC
58,Slovenia,SVN,1446.44,UEFA
59,Republic of Ireland,IRL,1436.63,UEFA
60,South Africa,RSA,1429.73,CAF
61,Saudi Arabia,KSA,1421.43,AFC
62,Burkina Faso,BFA,1412.49,CAF
63,Jordan,JOR,1391.45,AFC
64,Albania,ALB,1388.06,UEFA
65,Bosnia and Herzegovina,BIH,1385.84,UEFA
66,Honduras,HON,1380.27,CONCACAF
67,North Macedonia,MKD,1372.04,UEFA
68,United Arab Emirates,UAE,1370.47,AFC
69,Cabo Verde,CPV,1366.13,CAF
70,Northern Ireland,NIR,1362.16,UEFA
71,Jamaica,JAM,1358.00,CONCACAF
72,Georgia,GEO,1350.18,UEFA
73,Finland,FIN,1346.41,UEFA
74,Ghana,GHA,1346.31,CAF
75,Iceland,ISL,1345.07,UEFA
76,Bolivia,BOL,1329.42,CONMEBOL
77,Israel,ISR,1328.33,UEFA
78,Kosovo,KOS,1318.83,UEFA
79,Oman,OMA,1313.46,AFC
80,Guinea,GUI,1300.01,CAF
81,Montenegro,MNE,1295.52,UEFA
82,Curacao,CUW,1294.65,CONCACAF
83,Haiti,HAI,1291.71,CONCACAF
84,Syria,SYR,1288.56,AFC
85,New Zealand,NZL,1281.57,OFC
86,Bulgaria,BUL,1278.90,UEFA
87,Gabon,GAB,1272.51,CAF
88,Uganda,UGA,1264.09,CAF
89,Angola,ANG,1263.10,CAF
90,Benin,BEN,1258.98,CAF
91,Bahrain,BHR,1258.53,AFC
92,Zambia,ZAM,1255.82,CAF
93,Thailand,THA,1252.14,AFC
94,China PR,CHN,1251.60,AFC
95,Palestine,PLE,1244.73,AFC
96,Guatemala,GUA,1243.47,CONCACAF
97,Belarus,BLR,1235.82,UEFA
98,Luxembourg,LUX,1227.77,UEFA
99,Vietnam,VIE,1225.68,AFC
100,El Salvador,SLV,1225.26,CONCACAF
101,Mozambique,MOZ,1224.31,CAF
102,Trinidad and Tobago,TRI,1222.94,CONCACAF
103,Tajikistan,TJK,1221.78,AFC
104,Madagascar,MAD,1203.76,CAF
105,Equatorial Guinea,EQG,1195.20,CAF
106,Armenia,ARM,1191.42,UEFA
107,Kyrgyz Republic,KGZ,1191.14,AFC
108,Lebanon,LBN,1187.96,AFC
109,Comoros,COM,1187.91,CAF
110,Kazakhstan,KAZ,1182.96,UEFA
111,Kenya,KEN,1182.23,CAF
112,Libya,LBY,1182.08,CAF
113,Tanzania,TAN,1180.27,CAF
114,Niger,NIG,1179.66,CAF
115,Mauritania,MTN,1170.72,CAF
116,The Gambia,GAM,1160.38,CAF
117,Sudan,SDN,1157.22,CAF
118,Korea DPR,PRK,1151.05,AFC
119,Sierra Leone,SLE,1148.98,CAF
120,Namibia,NAM,1148.84,CAF
121,Togo,TOG,1147.31,CAF
122,Indonesia,IDN,1144.88,AFC
123,Faroe Islands,FRO,1137.14,UEFA
124,Azerbaijan,AZE,1136.67,UEFA
125,Suriname,SUR,1132.43,CONCACAF
126,Cyprus,CYP,1128.33,UEFA
127,Malawi,MWI,1128.03,CAF
128,Rwanda,RWA,1126.62,CAF
129,Estonia,EST,1121.10,UEFA
130,Zimbabwe,ZIM,1118.12,CAF
131,Nicaragua,NCA,1115.13,CONCACAF
132,Guinea-Bissau,GNB,1108.38,CAF
133,Congo,CGO,1105.96,CAF
134,Kuwait,KUW,1105.10,AFC
135,Philippines,PHI,1094.10,
136,India,IND,1091.03,AFC
137,Latvia,LVA,1090.57,UEFA
138,Malaysia,MAS,1086.22,AFC
139,Central African Republic,CTA,1083.57,CAF
140,Liberia,LBR,1079.02,CAF
141,Turkmenistan,TKM,1078.65,AFC
142,Burundi,BDI,1078.01,CAF
143,Dominican Republic,DOM,1077.95,CONCACAF
144,Ethiopia,ETH,1071.55,CAF
145,Lesotho,LES,1067.13,CAF
146,Botswana,BOT,1063.63,CAF
147,Singapore,SGP,1059.53,OFC
148,Lithuania,LTU,1058.42,UEFA
149,Yemen,YEM,1049.49,AFC
150,Guyana,GUY,1049.32,CONCACAF
151,New Caledonia,NCL,1036.95,OFC
152,St Kitts and Nevis,SKN,1036.33,CONCACAF
153,Solomon Islands,SOL,1031.89,OFC
154,Fiji,FIJ,1029.70,OFC
155,"Hong Kong, China",HKG,1026.63,AFC
156,Puerto Rico,PUR,1026.11,CONCACAF
157,Tahiti,TAH,1019.04,OFC
158,Myanmar,MYA,1011.88,AFC
159,Moldova,MDA,1004.16,UEFA
160,Vanuatu,VAN,997.01,OFC
161,Malta,MLT,987.73,UEFA
162,Antigua and Barbuda,ATG,986.58,CONCACAF
163,Grenada,GRN,982.57,CONCACAF
164,Cuba,CUB,981.42,CONCACAF
165,Eswatini,SWZ,979.01,CAF
166,Bermuda,BER,976.87,CONCACAF
167,St Lucia,LCA,976.71,CONCACAF
168,Papua New Guinea,PNG,974.90,OFC
169,Afghanistan,AFG,972.75,AFC
170,South Sudan,SSD,970.94,CAF
171,St Vincent and the Grenadines,VIN,968.27,CONCACAF
172,Maldives,MDV,954.93,AFC
173,Andorra,AND,945.34,UEFA
174,Chinese Taipei,TPE,923.78,AFC
175,Montserrat,MSR,916.75,CONCACAF
176,Nepal,NEP,914.54,AFC
177,Cambodia,CAM,911.54,AFC
178,Mauritius,MRI,911.49,CAF
179,Barbados,BRB,909.89,CONCACAF
180,Belize,BLZ,907.00,CONCACAF
181,Bangladesh,BAN,899.53,AFC
182,Dominica,DMA,897.69,CONCACAF
183,Chad,CHA,896.85,CAF
184,Eritrea,ERI,887.06,CAF
185,Laos,LAO,885.03,AFC
186,Bhutan,BHU,880.55,AFC
187,Mongolia,MNG,879.75,AFC
188,Cook Islands,COK,877.53,OFC
189,Aruba,ARU,877.30,CONCACAF
190,Samoa,SAM,876.41,OFC
191,Sri Lanka,SRI,871.82,
192,American Samoa,ASA,871.61,OFC
193,Brunei Darussalam,BRU,863.09,AFC
194,Macau,MAC,858.03,AFC
195,Cayman Islands,CAY,855.45,CONCACAF
196,São Tomé and Príncipe,STP,855.44,CAF
197,Djibouti,DJI,853.58,CAF
198,Somalia,SOM,839.17,CAF
199,Tonga,TGA,835.64,OFC
200,Timor-Leste,TLS,825.64,OFC
201,Guam,GUM,825.43,AFC
202,Pakistan,PAK,824.60,AFC
203,Gibraltar,GIB,810.14,UEFA
204,Seychelles,SEY,804.16,CAF
205,Turks and Caicos Islands,TCA,803.98,CONCACAF
206,Liechtenstein,LIE,803.57,UEFA
207,Bahamas,BAH,786.82,CONCACAF
208,British Virgin Islands,VGB,782.14,CONCACAF
209,US Virgin Islands,VIR,779.76,CONCACAF
210,Anguilla,AIA,760.25,CONCACAF
211,San Marino,SMR,726.33,UEFA
